## ------------------------------------------------------------------------- ##
## TEMPLATE DATA FILE FOR iSCAM                                              ##
## TIPS: -use '#' as comment character for the data file                     ##
##       -use '#' on all blank lines (windows compatible)                    ##
##       -sex: 0=asexual, 1=female, 2=male                                   ##  
##                                                                           ##
##                                                                           ##
## TEMPLATE is based on Flack Lake Trout (ADMB catage example)               ##
## ------------------------------------------------------------------------- ##
##
##
##
## ------------------------------------------------------------------------- ##
## MODEL DIMENSIONS                                                          ##
## ------------------------------------------------------------------------- ##
1       # -number of areas            (narea)
1        # -number of groups or stocks (ngroup)
2        # -number of sexes            (nsex)
1966     # -first year of data         (syr)
2013     # -last year of data          (nyr)
0        # -age of youngest age class  (sage)
20        # -age of plus group          (nage)
2       # -number of gears            (ngear)
##
## ------------------------------------------------------------------------- ##
## Allocation for each gear in (ngear), use 0 for survey gears.              ##
## ------------------------------------------------------------------------- ##
1  0
##
##
## ------------------------------------------------------------------------- ##
##
## ------------------------------------------------------------------------- ##
## Age-schedule and population parameters                                    ##
## ------------------------------------------------------------------------- ##
## Need one value for each area and sex.
##
53.2  53.2   # -asymptotic length (linf)  not updated
0.3   0.3   # -brody growth coefficient (k) not updated
-0.5  -0.5 # -theoretical age at zero length (to) ??
5e-6  5e-6    # -scaler in length-weight allometry
3.0   3.0    # -power parameter in length-weight allometry
3.45  3045   # -age at 50% maturity (approx with log(3.0)/k)
0.35  0.35   # -std at 50% maturity (CV ~ 0.1)
0         # flag mat vec  (if nmat==1) then read this vector, else if nmat==0, ignore it.
0        #mat vec
##
## ------------------------------------------------------------------------- ##
## TIME SERIES DATA                                                          ##
## ------------------------------------------------------------------------- ##
## Observed catch from all gears, areas, and sex                             ##
## sex: 1=female, 2=male, 0=asexual
## Type of catch: legend                                                     ##
##               1 = catch in weight                                         ##
##               2 = catch in numbers                                        ##
##               3 = catch in spawn (roe)                                    ##
## 
## n_ct_obs
   48
## Year gear area group sex type value
   1966  1  1  1  0  1  0.137700  
   1967  1  1  1  0  1  0.214370  
   1968  1  1  1  0  1  0.122180  
   1969  1  1  1  0  1  0.180130  
   1970  1  1  1  0  1  0.234590  
   1971  1  1  1  0  1  0.154620  
   1972  1  1  1  0  1  0.117540  
   1973  1  1  1  0  1  0.162640  
   1974  1  1  1  0  1  0.211260  
   1975  1  1  1  0  1  0.221350  
   1976  1  1  1  0  1  0.237520  
   1977  1  1  1  0  1  0.132690  
   1978  1  1  1  0  1  0.103637  
   1979  1  1  1  0  1  0.137110  
   1980  1  1  1  0  1  0.89930   
   1981  1  1  1  0  1  0.139120  
   1982  1  1  1  0  1  0.107741  
   1983  1  1  1  0  1  0.113931  
   1984  1  1  1  0  1  0.138492  
   1985  1  1  1  0  1  0.110399  
   1986  1  1  1  0  1  0.210616  
   1987  1  1  1  0  1  0.234148  
   1988  1  1  1  0  1  0.248840  
   1989  1  1  1  0  1  0.298079  
   1990  1  1  1  0  1  0.261286  
   1991  1  1  1  0  1  0.319705   
   1992  1  1  1  0  1  0.299650   
   1993  1  1  1  0  1  0.198905   
   1994  1  1  1  0  1  0.362415   
   1995  1  1  1  0  1  0.249495   
   1996  1  1  1  0  1  0.306301   
   1997  1  1  1  0  1  0.325168   
   1998  1  1  1  0  1  0.320722   
   1999  1  1  1  0  1  0.311922   
   2000  1  1  1  0  1  0.228211   
   2001  1  1  1  0  1  0.227529   
   2002  1  1  1  0  1  0.180692   
   2003  1  1  1  0  1  0.205175   
   2004  1  1  1  0  1  0.342323   
   2005  1  1  1  0  1  0.363157  
   2006  1  1  1  0  1  0.361761   
   2007  1  1  1  0  1  0.291129  
   2008  1  1  1  0  1  0.322144  
   2009  1  1  1  0  1  0.177209  
   2010  1  1  1  0  1  0.226195  
   2011  1  1  1  0  1  0.285850  
   2012  1  1  1  0  1  0.206350  
   2013  1  1  1  0  1  0.283510  
##
